ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProxZpos,ProxZneg,ProxYpos,ProxYneg,ProxXpos,ProxXneg,TopArea,SidesArea,NumberOfFaces,ClashCount
InteriorWall,4.44,118.06,1.03,3.48,0.1,3.73,0,0.13,8.91,2.79,10.64,1.32,0.35,26.68,10,5
InteriorWall,22.37,118.06,1.03,0.69,0.1,3.73,0,0.13,4.89,6.22,10.54,4.8,0.07,5.88,6,3
InteriorWall,1.5,118.06,1.03,10.29,0.1,3.73,0,0.13,1.32,0.2,5.54,9.8,1.03,77.48,14,9
InteriorWall,14.98,118.06,1.03,1.03,0.1,3.73,0,0.13,10.58,0.2,11.13,4.21,0.1,8.41,6,4
InteriorWall,26.16,118.06,1.03,0.59,0.1,3.73,0,0.13,9.01,2.21,7.69,7.64,0.06,5.13,6,4
InteriorWall,11.27,118.06,1.03,1.37,0.1,3.73,0,0.13,9.6,2.11,7.69,6.37,0.14,11,6,5
InteriorWall,2.69,118.06,1.03,5.73,0.1,3.73,0,0.13,1.32,4.75,9.07,6.27,0.57,43.51,10,8
InteriorWall,2.95,118.06,1.03,5.24,0.1,3.73,0,0.13,6.36,0.2,10.54,4.8,0.52,39.85,14,9
ExteriorWall,1.5,59.03,1.03,10.29,0.2,3.73,0,0.13,1.32,0.2,14.11,1.12,2.06,78.23,22,12
ExteriorWall,1.44,59.03,1.03,10.69,0.2,3.73,0,0.13,1.12,0,0,15.23,2.14,81.21,10,5
ExteriorWall,1.09,59.03,1.03,14.11,0.2,3.73,0,0.13,1.12,10.49,0.2,1.12,2.82,106.78,18,9
ExteriorWall,1.09,59.03,1.03,14.11,0.2,3.73,0,0.13,11.61,0,0.2,1.12,2.82,106.78,10,10
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,6.98,4.78,9.34,5.17,0.04,3.92,6,3
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,5.17,5.72,9.1,6.3,0.04,3.92,6,3
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,8.01,2.87,5.57,9.83,0.04,3.92,6,3
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,8.94,2.82,10.81,3.7,0.04,3.92,6,3
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,9.04,2.73,6.5,8.01,0.04,3.92,6,3
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,9.09,1.8,10.57,4.83,0.04,3.92,6,3
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,9.97,0.91,9,6.4,0.04,3.92,6,3
InteriorDoor,16.78,295.15,1.89,0.92,0.04,2.04,1.69,0.13,1.45,9.44,5.57,9.83,0.04,3.92,6,3
InteriorDoor,21.44,295.15,1.89,0.72,0.04,2.04,1.69,0.13,10.76,0.33,10.57,4.83,0.03,3.1,6,3
ExteriorDoor,15.28,295.15,1.89,1.01,0.04,2.04,1.69,0.13,11.69,0.08,9.3,5.13,0.04,4.28,6,3
Window,3.16,295.15,1.2,4.89,0.04,3.23,0.19,0.44,1.2,10.57,0.4,10.15,0.2,31.84,6,2
Window,1.56,295.15,1.2,9.89,0.04,3.23,0.19,0.44,1.52,0.4,0.08,15.31,0.4,64.12,6,2
Window,4.95,295.15,1.2,3.12,0.04,3.23,0.19,0.44,1.52,7.16,14.19,1.2,0.12,20.44,6,2
Window,10.57,295.15,1.2,1.46,0.04,3.23,0.19,0.44,5.24,5.1,14.19,1.2,0.06,9.68,6,2
Window,3.43,295.15,1.2,4.5,0.04,3.23,0.19,0.44,1.2,10.57,9.42,1.52,0.18,29.31,6,2
Window,5.27,295.15,1.2,2.93,0.04,3.23,0.19,0.44,1.2,10.57,5.89,6.62,0.12,19.17,6,2
Window,7.21,295.15,1.2,2.14,0.04,3.23,0.19,0.44,9.26,0.4,14.19,1.2,0.09,14.11,6,2
Window,11.35,295.15,1.2,1.36,0.04,3.23,0.19,0.44,7.3,3.14,14.19,1.2,0.05,9.04,6,2
Railing,5.27,393.53,3.86,2.93,0.03,1,2.73,0.13,0,11.78,5.89,6.62,0.09,5.92,6,4
Railing,13.78,393.53,3.86,1.12,0.03,1,2.73,0.13,0,10.69,8.79,6.62,0.03,2.3,6,3
Railing,13.78,393.53,3.86,1.12,0.03,1,2.73,0.13,0,10.69,5.89,9.51,0.03,2.3,6,4
Railing,7.21,393.53,3.86,2.14,0.03,1,2.73,0.13,9.26,0.4,15.4,0,0.06,4.35,6,4
Railing,13.78,393.53,3.86,1.12,0.03,1,2.73,0.13,11.38,0.4,14.31,0,0.03,2.3,6,4
Railing,13.78,393.53,3.86,1.12,0.03,1,2.73,0.13,9.26,2.51,14.31,0,0.03,2.3,6,4
Railing,4.95,393.53,3.86,3.12,0.03,1,2.73,0.13,1.52,7.16,15.4,0,0.09,6.31,6,4
Railing,13.78,393.53,3.86,1.12,0.03,1,2.73,0.13,1.52,10.26,14.31,0,0.03,2.3,6,4
