ComponentName,ApmtLength,ApmtDepth,ApmtHeight,Length,Depth,Height,ProximityDistance,TopArea,SidesArea,NumberOfFaces,ClashCount
BalconyFloor,2.5,6.03,20.21,5.62,1.29,0.19,0,7.25,2.63,6,5
BalconyFloor,2.47,6.03,20.21,5.69,1.29,0.19,0,7.34,2.65,6,6
BalconyFloor,4.24,6.03,20.21,3.31,1.29,0.19,0,4.27,1.75,6,5
BalconyFloor,7.75,6.03,20.21,1.81,1.29,0.19,0,2.33,1.18,6,5
BathroomFloor,4.07,3.44,20.21,3.45,2.26,0.19,0.2,7.78,2.17,6,4
Floor,1.1,1.2,20.21,12.74,6.49,0.19,0,82.7,7.31,18,36
InteriorWall,3.66,76.77,1.05,2.22,0.1,3.33,0.2,0.22,15.42,10,5
InteriorWall,8.28,76.77,1.05,0.98,0.1,3.33,2.42,0.1,7.21,6,4
InteriorWall,2.8,76.77,1.05,2.9,0.1,3.33,0.2,0.29,19.98,10,5
InteriorWall,6.6,76.77,1.05,1.23,0.1,3.33,0.2,0.12,8.85,6,4
InteriorWall,3.5,76.77,1.05,2.32,0.1,3.33,0.2,0.23,16.08,10,5
InteriorWall,1.05,76.77,1.05,7.72,0.1,3.33,0.2,0.77,52.06,10,8
ExteriorWall,1.11,38.39,1.05,7.28,0.2,3.33,0,1.46,49.8,14,7
ExteriorWall,1.06,38.39,1.05,7.68,0.2,3.33,0,1.54,52.46,10,9
ExteriorWall,1.02,38.39,1.05,7.92,0.2,3.33,0,1.58,54.06,6,5
ExteriorWall,1.02,38.39,1.05,7.92,0.2,3.33,0,1.58,54.06,6,5
InteriorDoor,8.82,191.93,1.58,0.92,0.04,2.21,3.13,0.04,4.24,6,3
InteriorDoor,8.82,191.93,1.58,0.92,0.04,2.21,2.1,0.04,4.24,6,3
InteriorDoor,8.82,191.93,1.58,0.92,0.04,2.21,1.39,0.04,4.24,6,3
InteriorDoor,8.82,191.93,1.58,0.92,0.04,2.21,1.36,0.04,4.24,6,3
ExteriorDoor,8.04,191.93,1.58,1.01,0.04,2.21,0.08,0.04,4.63,6,3
Window,2.12,191.93,1.3,3.83,0.04,2.68,0.08,0.15,20.73,6,2
Window,3.31,191.93,1.3,2.45,0.04,2.68,0.08,0.1,13.35,6,2
BathroomFloor,2.8,3.46,21.81,2.9,2.22,0.16,0.2,6.42,1.64,6,4
Floor,1,1,21.81,8.12,7.68,0.16,0,62.31,5.05,18,17
InteriorWall,26.33,84.57,1.06,0.42,0.1,3.65,2.54,0.04,3.77,9,4
InteriorWall,26.33,84.57,1.06,0.42,0.1,3.65,2.83,0.04,3.77,9,4
InteriorWall,11.89,84.57,1.06,0.93,0.1,3.65,2.83,0.09,7.53,6,4
InteriorWall,22.12,84.57,1.06,0.5,0.1,3.65,3.77,0.05,4.37,6,4
InteriorWall,3.63,84.57,1.06,3.05,0.1,3.65,0.2,0.3,22.99,6,5
InteriorWall,3.63,84.57,1.06,3.05,0.1,3.65,0.2,0.3,22.99,9,4
InteriorWall,4.37,84.57,1.06,2.53,0.1,3.65,0.2,0.25,19.23,6,4
InteriorWall,22.12,84.57,1.06,0.5,0.1,3.65,2.73,0.05,4.37,6,4
InteriorWall,22.12,84.57,1.06,0.5,0.1,3.65,2.54,0.05,4.37,6,4
InteriorWall,10.74,84.57,1.06,1.03,0.1,3.65,2.83,0.1,8.26,6,5
InteriorWall,4.83,84.57,1.06,2.29,0.1,3.65,2.73,0.23,17.46,6,6
InteriorWall,4.87,84.57,1.06,2.27,0.1,3.65,2.83,0.23,17.32,13,7
InteriorWall,1.9,84.57,1.06,5.83,0.1,3.65,0.2,0.58,43.27,14,7
InteriorWall,4.2,84.57,1.06,2.63,0.1,3.65,0.2,0.26,19.96,6,5
InteriorWall,1.7,84.57,1.06,6.52,0.1,3.65,0.2,0.65,48.36,22,12
ExteriorWall,1.04,42.29,1.06,10.66,0.2,3.65,0,2.13,79.27,6,8
ExteriorWall,1.31,42.29,1.06,8.46,0.2,3.65,0,1.69,63.2,10,5
ExteriorWall,1.02,42.29,1.06,10.86,0.2,3.65,0,2.17,80.73,6,5
ExteriorWall,1.34,42.29,1.06,8.26,0.2,3.65,0,1.65,61.74,18,9
InteriorDoor,12.02,211.43,1.64,0.92,0.04,2.37,3.46,0.04,4.55,6,3
InteriorDoor,12.02,211.43,1.64,0.92,0.04,2.37,3.8,0.04,4.55,6,3
InteriorDoor,12.02,211.43,1.64,0.92,0.04,2.37,3.28,0.04,4.55,6,3
InteriorDoor,12.02,211.43,1.64,0.92,0.04,2.37,2.84,0.04,4.55,6,3
InteriorDoor,12.02,211.43,1.64,0.92,0.04,2.37,3.28,0.04,4.55,6,3
InteriorDoor,12.02,211.43,1.64,0.92,0.04,2.37,2.83,0.04,4.55,6,3
InteriorDoor,15.36,211.43,1.64,0.72,0.04,2.37,2.73,0.03,3.6,6,3
InteriorDoor,12.02,211.43,1.64,0.92,0.04,2.37,1.63,0.04,4.55,6,3
ExteriorDoor,10.95,211.43,1.64,1.01,0.04,2.37,0.08,0.04,4.97,6,3
Window,1.44,211.43,1.23,7.66,0.04,3.15,0.08,0.31,48.49,6,2
Window,3.54,211.43,1.23,3.12,0.04,3.15,0.08,0.12,19.88,6,2
Window,4.25,211.43,1.23,2.6,0.04,3.15,0.08,0.1,16.63,6,2
BathroomFloor,3.63,4.25,16.87,3.05,1.99,0.23,0.2,6.08,2.32,6,4
Floor,1,1,16.87,11.06,8.46,0.23,0,93.53,8.98,18,30
InteriorWall,32.42,82.64,1.05,0.4,0.1,3.57,2.66,0.04,3.6,6,4
InteriorWall,32.42,82.64,1.05,0.4,0.1,3.57,2.77,0.04,3.6,6,4
InteriorWall,14.25,82.64,1.05,0.91,0.1,3.57,2.77,0.09,7.2,6,4
InteriorWall,6.21,82.64,1.05,2.09,0.1,3.57,3.17,0.21,15.63,10,6
InteriorWall,24.94,82.64,1.05,0.52,0.1,3.57,2.67,0.05,4.43,6,4
InteriorWall,2.86,82.64,1.05,4.54,0.1,3.57,0.2,0.45,33.13,18,9
InteriorWall,24.94,82.64,1.05,0.52,0.1,3.57,2.66,0.05,4.43,6,4
InteriorWall,1.93,82.64,1.05,6.73,0.1,3.57,0.2,0.67,48.76,17,8
InteriorWall,5.92,82.64,1.05,2.19,0.1,3.57,2.67,0.22,16.37,9,5
InteriorWall,2.41,82.64,1.05,5.39,0.1,3.57,0.2,0.54,39.22,14,8
InteriorWall,5.05,82.64,1.05,2.57,0.1,3.57,0.2,0.26,19.07,6,5
InteriorWall,4.22,82.64,1.05,3.07,0.1,3.57,0.2,0.31,22.67,6,6
InteriorWall,3.73,82.64,1.05,3.48,0.1,3.57,0.2,0.35,25.55,6,5
ExteriorWall,1.65,41.32,1.05,7.86,0.2,3.57,0,1.57,57.58,18,9
ExteriorWall,1.65,41.32,1.05,7.86,0.2,3.57,0,1.57,57.58,10,8
ExteriorWall,1.12,41.32,1.05,11.56,0.2,3.57,0,2.31,83.97,6,7
ExteriorWall,1.12,41.32,1.05,11.56,0.2,3.57,0,2.31,83.97,6,5
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.37,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.71,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,2.97,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.21,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,2.76,0.04,3.55,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,3.21,0.04,3.55,6,3
InteriorDoor,18.01,206.6,2.02,0.72,0.04,1.85,2.87,0.03,2.81,6,3
InteriorDoor,14.1,206.6,2.02,0.92,0.04,1.85,1.72,0.04,3.55,6,3
ExteriorDoor,12.84,206.6,2.02,1.01,0.04,1.85,0.08,0.04,3.88,6,3
Window,1.74,206.6,1.59,7.46,0.04,2.35,0.08,0.3,35.27,6,2
Window,4.28,206.6,1.59,3.03,0.04,2.35,0.08,0.12,14.42,6,2
Window,5.13,206.6,1.59,2.53,0.04,2.35,0.09,0.1,12.06,6,2
Railing,5.13,275.47,3.74,2.53,0.03,1,0,0.08,5.11,6,4
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,4
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,4
Railing,1.74,275.47,3.74,7.46,0.03,1,0,0.22,14.99,6,4
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,5
Railing,18.8,275.47,3.74,0.69,0.03,1,0,0.02,1.44,6,5
BalconyFloor,5.13,11.98,22,2.53,0.69,0.17,0,1.74,1.09,6,5
BalconyFloor,1.74,11.98,22,7.46,0.69,0.17,0,5.15,2.77,6,6
BathroomFloor,4.35,3.95,22,2.98,2.09,0.17,0.2,6.21,1.72,6,4
Floor,1.12,1,22,11.56,8.26,0.17,0,95.53,6.74,18,34
InteriorWall,32.42,82.64,1.05,0.4,0.1,3.57,2.66,0.04,3.6,6,4
